output_kW;type;speed_r_min;eff_full_load;eff_half_load;power_factor;current_A;Tnom_Nm;Inertia;weight_kg;sound_dB
0.12;M3BP 71ME 8;659;50.7;41.9;0.68;0.49;1.7;0.00107;11;43
0.18;M3BP 80MF 8;679;58.8;51.7;0.55;0.8;2.6;0.0035;18;45
0.25;M3BP 80MLG 8;674;64.1;64.1;0.58;0.92;3.5;0.0044;21;50
0.37;M3BP 90SLF 8;710;69.3;62.5;0.54;1.37;4.96;0.0056;28;50
0.55;M3BP 90LG 8;710;73;64.6;0.53;2;7.7;0.0072;32;53
0.75;M3BP 100LKA 8;710;75;70.5;0.65;2.13;10;0.00855;37;53
1.1;M3BP 100LKB 8;703;77.7;74.7;0.65;3.08;14.9;0.0128;45;53
1.5;M3BP 112MC 8;717;79.7;78.8;0.62;4.12;19.9;0.0194;53;55
2.2;M3BP 132SMA 8;725;81.9;80.2;0.64;5.8;28.9;0.0291;66;57
3;M3BP 132SMG 8;723;83.5;82.8;0.66;7.5;39.6;0.0375;76;57
4;M3BP 160MLA 8;734;84.8;83.2;0.65;10.3;52;0.091;130;59
5.5;M3BP 160MLB 8;732;86.2;86.1;0.69;13;71.7;0.091;132;59
7.5;M3BP 160MLC 8;733;87.3;87.2;0.69;17.6;97.7;0.12;167;59
11;M3BP 180MLA 8;731;88.6;88.4;0.7;25.3;144;0.2;219;59
15;M3BP 200MLA 8;737;89.6;90.1;0.74;32.5;194;0.45;290;60
18.5;M3BP 225SMA 8;736;90.1;90.2;0.74;39.8;240;0.669;350;63
22;M3BP 225SMB 8;736;90.6;91.5;0.73;47.5;285;0.722;363;63
30;M3BP 250SMA 8;741;91.3;91;0.71;67;386;1.4;440;63
37;M3BP 280SMA 8;741;91.8;91.3;0.79;72.6;476;1.85;605;65
45;M3BP 280SMB 8;741;92.2;91.7;0.78;89.2;579;2.2;645;65
55;M3BP 315SMA 8;742;92.5;92.5;0.8;106;707;3.2;830;62
75;M3BP 315SMB 8;741;93.1;93.1;0.82;146;966;4.1;930;62
90;M3BP 315SMC 8;741;93.4;93.4;0.82;170;1159;4.9;1000;64
110;M3BP 315MLA 8;740;93.7;94.1;0.83;211;1419;5.8;1150;72
132;M3BP 355SMA 8;744;94;93.4;0.79;256;1694;7.9;1520;69
160;M3BP 355SMB 8;744;94.3;93.8;0.79;293;1926;9.7;1680;69
200;M3BP 355SMC 8;742;94.6;94.8;0.79;385;2576;11.3;1820;69
250;M3BP 355MLB 8;743;94.6;94.1;0.8;472;3213;13.5;2180;72
315;M3BP 400LA 8;744;94.6;94;0.8;592;4043;17;2900;71
355;M3BP 400LB 8;743;94.6;94.6;0.83;641;4562;21;3200;71
400;M3BP 400LC 8;744;94.6;94.3;0.81;735;5134;24;3400;71
450;M3BP 450LA 8;744;94.6;94.6;0.83;813;5775;26;3750;80
500;M3BP 450LB 8;744;94.6;94.5;0.83;902;6417;29;4000;80
560;M3BP 450LC 8;744;94.6;94.2;0.81;1038;7188;35;4350;80
630;M3BP 450LD 8;745;94.6;94;0.82;1162;8075;41;4800;80
