Product Name;Product Description;Product Code (SKU);Categories;Price ($);Status;Hub Diameter;Hub Thickness;Shaft Diameter;Weight;Diameter (INCHES);Diameter (METERS);Pitch (INCHES);Pitch-to-diameter ratio (-);Color;UPC Code;Product Weight (NOT for Shipping Calculations) (LBS) ;Product Weight (NOT for Shipping Calculations) (grams) 
4x4E-3-B4;"3 Blade
FPV Racing Bundle (4x4E-3 and 4x4EP-3)
Package contains four propellers (2 standard rotation and 2 reverse rotation)";LP304040E-B4;"Bundle (2 CW &amp; 2 CCW), FPV Racing / Freestyle, 3 Bladed (Electric Only)";5.92; ;0.50 in.;0.26 in.;5 mm;0.14 oz.;4;0.1016;4;1.0000;Grey;6.87E+11;0.0352;16
4.1x4.1EP;"Speed 400 Electric Pusher
Reverse Rotation
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPAR18SF";LP04141EP;Multi Rotor (Electric Only), Speed 400 (Electric Only), Speed 400 Reverse Rotation (Left Hand Rotation);2.43; ;0.50 in.;0.30 in.;1/4 in.;0.11 oz.;4.1;0.1041;4.1;1.0000;Grey;6.87E+11;0.0069;3.1
4.1x4.1E;"Speed 400 Electric
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPAR18SF";LP04141E;Multi Rotor (Electric Only), Speed 400 (Electric Only);2.43; ;0.50 in.;0.30 in.;1/4 in.;0.11 oz.;4.1;0.1041;4.1;1.0000;Grey;6.87E+11;0.0069;3.1
4.2x4 ;"049 Free Flight
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPAR18SF";LP04240;Free Flight, Sport;2.48; ;0.50 in.;0.30 in.;1/4 in.;0.11 oz.;4.2;0.1067;4;0.9524;Grey;6.87E+11;0.0069;3.1
4.2x2 ;"020 Sport
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPAR18SF";LP04220;Sport;2.48;;0.50 in.;0.30 in.;1/4 in.;0.11 oz.;4.2;0.1067;2;0.4762;Grey;6.87E+11;0.0069;3.1
4.4x4;"049 Free Flight
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPAR18SF";LP04440;Free Flight, Sport;2.48; ;0.50 in.;0.30 in.;1/4 in.;0.14 oz.;4.4;0.1118;4;0.9091;Grey;6.87E+11;0.0088;4
4.5x4.1E;"Speed 400 Electric
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPAR18SF";LP04541E;Speed 400 (Electric Only);2.43; ;0.50 in.;0.28 in.;1/4 in.;0.14 oz.;4.5;0.1143;4.1;0.9111;Grey;6.87E+11;0.0088;4
4.5x4;"1/2A Pylon / Combat
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPAR18SF";LP04540;Pylon Combat, 1/2A Pylon Combat;2.48; ;0.50 in.;0.30 in.;1/4 in.;0.14 oz.;4.5;0.1143;4;0.8889;Grey;6.87E+11;0.0088;4
4.5x3.5;"1/2A Pylon / Combat
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPAR18SF";LP04535;Pylon Combat, 1/2A Pylon Combat;2.48; ;0.50 in.;0.30 in.;1/4 in.;0.14 oz.;4.5;0.1143;3.5;0.7778;Grey;6.87E+11;0.0088;4
4.6x3;1/2A Pylon / Combat;LP04630;Pylon Combat, 1/2A Pylon Combat;2.48; ;0.65 in.;0.31 in.;3/16 in.;0.18 oz.;4.6;0.1168;3;0.6522;Grey;6.87E+11;0.0113;5.1
4.7x4.2E;"Speed 400 Electric
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPAR18SF";LP04742E;Speed 400 (Electric Only);2.43; ;0.50 in.;0.26 in.;1/4 in.;0.11 oz.;4.7;0.1194;4.2;0.8936;Grey;6.87E+11;0.0069;3.1
4.75x5.5E;"Speed 400 Electric
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPAR18SF and LPARM12SF";LP04755E;Speed 400 (Electric Only);2.43; ;0.50 in.;0.30 in.;1/4 in.;0.14 oz.;4.75;0.1207;5.5;1.1579;Grey;6.87E+11;0.0088;4
4.75x4.75EP;"Speed 400 Electric Pusher
Reverse Rotation
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPAR18SF and LPARM12SF";LP04747EP;Multi Rotor (Electric Only), Speed 400 (Electric Only), Speed 400 Reverse Rotation (Left Hand Rotation);2.43; ;0.50 in.;0.30 in.;1/4 in.;0.14 oz.;4.75;0.1207;4.75;1.0000;Grey;6.87E+11;0.0088;4
4.75x4.75EC;"Speed 400 Electric Carbon
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPAR18SF and LPARM12SF
Material: 40% Carbon / 60% Nylon";LP04747EC;Speed 400 (Electric Only), Carbon Fiber (Electric Only);7.43; ;0.50 in.;0.30 in.;1/4 in.;0.11 oz.;4.75;0.1207;4.75;1.0000;Black;6.87E+11;0.0069;3.1
4.75x4.75E;"Speed 400 Electric
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPAR18SF and LPARM12SF";LP04747E;Multi Rotor (Electric Only), Speed 400 (Electric Only);2.43; ;0.50 in.;0.30 in.;1/4 in.;0.14 oz.;4.75;0.1207;4.75;1.0000;Grey;6.87E+11;0.0088;4
4.75x4.5EC;"Speed 400 Electric Carbon
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPAR18SF and LPARM12SF
Material: 40% Carbon / 60% Nylon";LP04745EC;Speed 400 (Electric Only), Carbon Fiber (Electric Only);7.43; ;0.50 in.;0.30 in.;1/4 in.;0.11 oz.;4.75;0.1207;4.5;0.9474;Black;6.87E+11;0.0069;3.1
4.75x4.5E;"Speed 400 Electric
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPAR18SF and LPARM12SF";LP04745E;Speed 400 (Electric Only);2.43; ;0.50 in.;0.30 in.;1/4 in.;0.14 oz.;4.75;0.1207;4.5;0.9474;Grey;6.87E+11;0.0088;4
4.75x4;1/2A Pylon / Combat;LP04754;Pylon Combat, 1/2A Pylon Combat;2.48; ;0.65 in.;0.34 in.;3/16 in.;0.21 oz.;4.75;0.1207;4;0.8421;Grey;6.87E+11;0.0131;5.9
5x7.5EP;"Speed 400 Electric Pusher
Reverse Rotation
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPARM12SF
Includes Nylon spacer for hub";LP05075EP;Multi Rotor (Electric Only), FPV Racing / Freestyle, Speed 400 (Electric Only), Speed 400 Reverse Rotation (Left Hand Rotation);2.54; ;0.50 in.;0.28 in.;5 mm;0.18 oz.;5;0.127;7.5;1.5000;Grey;6.87E+11;0.011;5
5x7.5E;"Speed 400 Electric
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPARM12SF
Includes Nylon spacer for hub";LP05075E;Multi Rotor (Electric Only), FPV Racing / Freestyle, Speed 400 (Electric Only);2.54; ;0.50 in.;0.28 in.;5 mm;0.18 oz.;5;0.127;7.5;1.5000;Grey;6.87E+11;0.011;5
5x5FP;"Folding Electric Propeller Blades
Reverse Rotation
Use FH35mm-6 (LPFH2-6) Hub - not included";LP05050FP;Folding (Electric Only);3.35; ;NA;See LPFH;See LPFH;0.11 oz.;5;0.127;5;1.0000;Grey;6.87E+11;0.0069;3.1
5x5F;"Folding Electric Propeller Blades
Use FH35mm-6 (LPFH2-6) Hub - not included";LP05050F;Folding (Electric Only);3.35; ;NA;See LPFH;See LPFH;0.11 oz.;5;0.127;5;1.0000;Grey;6.87E+11;0.0069;3.1
5x5EP;"Speed 400 Electric Pusher
Reverse Rotation
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPAR18SF and LPARM12SF";LP05050EP;Multi Rotor (Electric Only), FPV Racing / Freestyle, Speed 400 (Electric Only), Speed 400 Reverse Rotation (Left Hand Rotation);2.43; ;0.50 in.;0.25 in.;1/4 in.;0.14 oz.;5;0.127;5;1.0000;Grey;6.87E+11;0.0088;4
5x5E;"Speed 400 Electric
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPAR18SF and LPARM12SF";LP05050E;Multi Rotor (Electric Only), FPV Racing / Freestyle, Speed 400 (Electric Only);2.43; ;0.50 in.;0.25 in.;1/4 in.;0.14 oz.;5;0.127;5;1.0000;Grey;6.87E+11;0.0088;4
5x4R-RH;"Reversible ESC - RH, 2 Pack
3D Reversible ESC
Includes two RH rotation propellers";LP05040R-RH;Multi Rotor (Electric Only), 3D - Reversible ESC;2.97; ;0.50 in.;0.28 in.;5 mm;0.14 oz.;5;0.127;4;0.8000;Grey;6.87E+11;0.0176;8
5x4R-LH;"Reversible ESC - LH, 2 Pack
3D Reversible ESC
Includes two LH rotation propellers";LP05040R-LH;Multi Rotor (Electric Only), 3D - Reversible ESC;2.97; ;0.50 in.;0.28 in.;5 mm;0.14 oz.;5;0.127;4;0.8000;Grey;6.87E+11;0.0176;8
5x4E-3-B4;"3 Blade
FPV Racing Bundle (5x4E-3 and 5x4EP-3)
Package contains four propellers (2 standard rotation and 2 reverse rotation)";LP305040E-B4;"Bundle (2 CW &amp; 2 CCW), FPV Racing / Freestyle, 3 Bladed (Electric Only)";5.92; ;0.50 in.;0.27 in.;5 mm;0.21 oz.;5;0.127;4;0.8000;Grey;6.87E+11;0.0524;23.8
5x4.1SF;"Slow Flyer Indoor 3D
For Indoor 3D Aerobatics";LP05041SF;Indoor 3D;2.33; ;0.50 in.;0.15 in.;5.5 mm;0.08 oz.;5;0.127;4.1;0.8200;Grey;6.87E+11;0.0044;2
5x3EP;"Thin Electric Pusher
Reverse Rotation
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPAR18SF and LPARM12SF";LP05030EP;Thin Electric, Multi Rotor (Electric Only), Electric Reverse Rotation (Left Hand Rotation);2.43; ;0.50 in.;0.23 in.;1/4 in.;0.11 oz.;5;0.127;3;0.6000;Grey;6.87E+11;0.0069;3.1
5x3E;"Thin Electric
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPAR18SF and LPARM12SF";LP05030E;Thin Electric, Multi Rotor (Electric Only);2.43; ;0.50 in.;0.23 in.;1/4 in.;0.11 oz.;5;0.127;3;0.6000;Grey;6.87E+11;0.0069;3.1
